stop_lat,stop_id,stop_name,stop_lon
55.713803,36346,ЖК Светлый,49.34984
55.717583,36347,пос. Куюки,49.354309
55.713938,36348,ЖК Светлый,49.349134
55.718679,36349,30-й квартал,49.339623
55.725134,36350,Микрорайон Яшьлек,49.325522
55.729401,36351,Новые Салмачи,49.316937
55.737572,36352,5-я Зелёная,49.303238
55.740497,36353,1-я Зелёная,49.298321
55.74216,36354,Салмачи,49.291428
55.742812,36355,2-й поворот,49.282495
55.743569,36356,Центральная (Салмачи),49.273226
55.745156,36357,Овражная,49.263992
55.74948,36358,Рассветная,49.256133
55.750314,36359,ИЖС Восточный,49.246879
55.750781,36360,Кул Гали (ул. Габишева),49.242393
55.746796,36361,9-й микрорайон,49.236076
55.744982,36157,Алтан,49.232803
55.741555,36158,Габишева,49.226536
55.743832,36159,8-й микрорайон,49.219638
55.747974,35689,проспект Победы,49.212517
55.753768,35690,Гарифьянова,49.202749
55.757206,35691,Братьев Касимовых,49.196836
55.759841,35692,Метро Горки,49.1923
55.764226,35693,Рихарда Зорге,49.184667
55.76664,35694,Даурская (ул. Рихарда Зорге),49.180519
55.770289,35695,Сады,49.176729
55.779852,35696,Гвардейская,49.172155
55.782728,35697,Кафе Сирень,49.170826
55.787278,35852,Аделя Кутуя,49.169017
55.787155,35853,Достоевского,49.160507
55.787621,35854,Товарищеская,49.156133
55.788928,35377,Шмидта,49.152201
55.792637,35452,ЦПКиО им. Горького,49.154686
55.790012,35828,Чеховский рынок,49.147761
55.789457,35829,Груздева,49.144429
55.789926,35830,Толстого (ул. Бутлерова),49.138454
55.787573,35831,Бутлерова,49.129536
55.78728,35713,Метро пл. Тукая,49.122022
55.788971,36088,Ж/д вокзал,49.101708
55.790994,36089,Саид-Галеева,49.099599
55.794464,35546,Дворец спорта,49.101077
55.79315,35547,ЦУМ,49.102656
55.790005,35548,Чернышевского (ул. Московская),49.106434
55.787008,35549,Колхозный рынок (ул. Московская),49.110035
55.782891,35550,Театр им. Камала,49.116557
55.792847,35552,Университет (ул. Пушкина),49.12501
55.793937,35553,Театр им. Тинчурина,49.129845
55.79378,35554,Гоголя (ул. Горького),49.132954
55.793461,35555,Толстого (ул. Горького),49.137758
55.792683,35556,ЦПКиО им. Горького,49.151633
55.792959,35411,Абжалилова,49.164261
55.79437,35412,Кооперативный институт,49.172369
55.796739,35413,Октябрьский городок,49.175786
55.801065,35414,Советская пл.,49.182833
55.806146,35415,Пионерская,49.184212
55.809901,35416,Попова,49.182378
55.812338,35417,Национальный архив,49.181245
55.81974,35418,Халитова,49.18355
55.820204,35443,Халитова,49.182637
55.81415,35444,Академика Арбузова (ул. Сибирский тракт),49.180106
55.811469,35445,Национальный архив,49.181353
55.809052,35446,Попова,49.182476
55.805238,35447,Пионерская,49.184378
55.800695,35448,Советская пл.,49.181535
55.797419,35449,Октябрьский городок,49.176315
55.795452,35450,Кооперативный институт,49.173479
55.793164,35451,Абжалилова,49.164052
55.79291,35725,ЦПКиО им. Горького,49.151638
55.795165,35726,Толстого (ул. Карла Маркса),49.136777
55.795579,35727,Гоголя (ул. Карла Маркса),49.132276
55.795488,35728,пл. Свободы,49.125355
55.793212,35729,Университет (ул. Пушкина),49.124789
55.782958,35981,Театр им. Камала,49.115944
55.734788,36437,Тихорецкая,49.0989
55.730854,36438,Крутовская,49.114765
55.730778,36439,2-я Тихорецкая,49.120731
55.733335,35784,Техническая,49.135119
55.733168,35785,Глазунова,49.144878
55.735243,35786,Проектная,49.144987
55.737209,35787,Авангардная,49.145091
55.740532,35788,Регистрационная палата,49.145266
55.742867,35789,Кулагина,49.141743
55.742955,35790,Вторчермет,49.135713
55.744042,35791,Завод Искож,49.132876
55.748168,35792,Модельная,49.132228
55.755387,35793,Татмебельбыт,49.130666
55.762762,35794,Железнодорожная,49.128329
55.766107,35795,пл. Вахитова,49.127651
55.769723,35796,Хади Такташ,49.13287
55.77264,35456,Филармония,49.140451
55.768722,35457,Ипподромная,49.14552
55.765073,35458,Халева,49.148841
55.764644,36440,Метро Аметьево,49.168165
55.764716,36441,Даурская (ул. Даурская),49.174354
55.765371,36442,Завод ЖБИ-2,49.180081
55.759867,35464,Метро Горки,49.188723
55.753881,35465,Мавлютова,49.188983
55.749691,35466,Медучилище,49.189572
55.746225,35467,Академика Парина,49.190546
55.745431,36400,Сыртлановой (проспект Победы),49.200704
55.749319,35743,Метро Проспект Победы,49.209516
55.776962,36107,Кабельное телевидение,49.231833
55.779693,36108,Вагапова (ул. Академика Сахарова),49.230175
55.782594,36109,Академика Сахарова (ул. Хайдара Бигичева),49.224574
55.785396,36110,Детский сад №185,49.223627
55.786811,36111,Хайдара Бигичева,49.224246
55.789791,35672,Академика Глушко (ул. Хайдара Бигичева),49.224678
55.791427,35673,Джаудата Файзи,49.225653
55.79253,35674,пер. Дуслык,49.229316
55.791364,35675,Джаудата Файзи,49.22542
55.789669,35676,Академика Глушко (ул. Хайдара Бигичева),49.224566
55.786512,36086,Хайдара Бигичева,49.223979
55.784983,36087,Детский сад №185,49.223515
55.782159,35934,Академика Сахарова (ул. Хайдара Бигичева),49.224604
55.780121,35935,Вагапова (ул. Академика Сахарова),49.2295
55.749597,36406,Метро Проспект Победы,49.2075
55.744843,36407,Сыртлановой (проспект Победы),49.198723
55.74177,35394,Деревня Универсиады (проспект Победы),49.192205
55.745726,35395,Академика Парина,49.190799
55.749214,35396,Медучилище,49.189819
55.754576,35397,Мавлютова,49.189064
55.76525,36428,Завод ЖБИ-2,49.179596
55.764792,36429,Даурская (ул. Даурская),49.173949
55.764637,36430,Метро Аметьево,49.167938
55.764873,35404,Халева,49.149327
55.768491,35405,Ипподромная,49.146035
55.772043,35406,Филармония,49.142106
55.772947,35770,Павлюхина,49.138704
55.770061,35771,Хади Такташ,49.133223
55.765975,35773,пл. Вахитова,49.12735
55.763079,35774,Железнодорожная,49.127817
55.75563,35775,Татмебельбыт,49.130246
55.749576,35776,Модельная,49.131688
55.743906,35777,Завод Искож,49.132577
55.742751,35778,Вторчермет,49.136804
55.742671,35779,Кулагина,49.142274
55.740322,35780,Регистрационная палата,49.144953
55.738629,35781,Авангардная,49.144864
55.735629,35782,Проектная,49.144706
55.733712,35783,Глазунова,49.144608
55.733636,36431,Техническая,49.13496
