stop_lat,stop_id,stop_lon,stop_name
55.045519,29196,73.189013,Поворот (ул. Загородная)
55.046793,29197,73.183879,Карьер (ул. Загородная)
55.050309,29198,73.178412,Песчаная
55.055207,29199,73.172714,Магазин (ул. Загородная)
55.058647,29200,73.169324,Загородная (по требованию)
55.061657,29201,73.166476,пос. Николаевка
55.061541,29202,73.166515,пос. Николаевка
55.058216,29203,73.16967,Загородная (по требованию)
55.054879,29204,73.172966,Магазин (ул. Загородная)
55.049576,29205,73.17947,Песчаная
55.04642,29206,73.184366,Карьер (ул. Загородная)
55.045727,29207,73.189472,Поворот (ул. Загородная)
55.043846,29208,73.195404,проспект Мира (по требованию)
55.037631,29210,73.21058,ЗСЖБ-5
55.03325,29211,73.22137,Магазин (проспект Мира)
55.031134,29212,73.226648,Микрорайон Юбилейный
55.028477,29213,73.236288,Радиостанция
55.028662,29214,73.24654,Социальный рынок (проспект Мира)
55.028724,29215,73.250962,ДОК (проспект Мира)
55.028824,29216,73.258204,Магазин Садко
55.028899,29217,73.263521,ОмГУ
55.028985,29218,73.269722,Нефтезаводская
55.024685,29219,73.305634,Школа №18
55.03027,28897,73.308048,7-я Заозёрная
55.034821,28898,73.310161,14-я Заозёрная
55.033394,28682,73.323235,Учхоз
55.031316,28683,73.330115,СибНИИСХоз
55.028636,29220,73.338035,Агрохимцентр
55.034621,28957,73.430217,Гаражи (ул. Завертяева)
55.034021,28958,73.441992,Станция Успешная
55.0338,28959,73.446438,Завертяева (по требованию)
55.033389,28960,73.454682,Детский сад (ул. Завертяева)
55.032998,28961,73.463879,КЖБИ
55.03469,28962,73.468287,Микрорайон Первокирпичный
55.039738,28964,73.476474,Сады (в сторону пос. Загородный)
55.043358,29100,73.489306,Развилка (в сторону пос. Загородный)
55.039591,29101,73.492017,Карьер (пос. Степной)
55.033479,29102,73.495997,Воинская часть
55.030845,29103,73.49705,По требованию (пос. Степной)
55.022589,29221,73.50019,Поворот (в сторону с/т Проектировщик)
55.021969,29222,73.507595,снт Проектировщик
55.024684,29105,73.517506,снт Ивушка
54.938359,29156,73.369479,Речной порт
54.934321,29308,73.366058,Авангард (по требованию)
54.932379,29157,73.368591,Ленинский районный суд
54.93352,29124,73.374262,Труда
54.934285,29125,73.378235,Котельникова
54.935777,28505,73.380961,Колледж транспортного строительства
54.946562,28657,73.386215,пл. Серова
54.952999,28658,73.387998,Хлебозавод (проспект Карла Маркса)
54.955682,28659,73.38742,Цирк
54.962988,28660,73.38588,Дом печати
54.969046,28661,73.383578,Академия транспорта
54.995277,28662,73.372596,Фрунзе
54.999336,28663,73.373106,Яковлева
55.003132,28664,73.373577,Завод им. Куйбышева
55.009499,28665,73.3744,7-я Северная (ул. Герцена)
55.014691,28666,73.375067,13-я Северная
55.018878,28667,73.375607,18-я Северная
55.023129,28434,73.418103,4-я Челюскинцев
55.018942,29060,73.421491,Школа №30
55.018681,29061,73.429184,Переезд (ул. 22 Партсъезда)
55.019097,29062,73.434035,Хлебозавод (ул. 22 Партсъезда)
55.019893,29063,73.443313,Столовая (ул. 22 Партсъезда)
55.01713,29064,73.444657,Криогенная техника
55.017735,29238,73.456557,ОмскГлавСнаб
55.018721,29239,73.459409,Сады Берёзка
55.018671,29240,73.459138,Сады Берёзка
55.017387,29241,73.455469,ОмскГлавСнаб
55.01739,29069,73.444649,Криогенная техника
55.019891,29070,73.442547,Столовая (ул. 22 Партсъезда)
55.019144,29071,73.433843,Хлебозавод (ул. 22 Партсъезда)
55.018706,29072,73.428739,Переезд (ул. 22 Партсъезда)
55.019661,28402,73.420407,Школа №30
55.022697,28403,73.418543,4-я Челюскинцев
55.02301,28686,73.375983,24-я Северная (ул. Герцена)
55.018292,28687,73.375375,18-я Северная
55.013763,28688,73.374791,13-я Северная
55.008201,28689,73.374077,7-я Северная (ул. Герцена)
55.00307,28690,73.373412,Завод им. Куйбышева
54.999605,28691,73.372979,Яковлева
54.969993,28695,73.382949,Академия транспорта
54.963647,28696,73.385508,Дом печати
54.956474,28697,73.387011,Цирк
54.952372,28698,73.387881,Хлебозавод (проспект Карла Маркса)
54.948407,28699,73.386833,пл. Серова
54.937977,28746,73.381941,ТЦ Авангард
54.935567,28468,73.380794,Колледж транспортного строительства
54.934506,29133,73.379183,Котельникова
54.933275,29134,73.372836,Труда
54.932395,29135,73.366802,Ленинский районный суд
